Leaf Size,In Sample RMSE,Out of Sample RMSE
1,0,0.008771028
2,0.004005943,0.007360425
3,0.004329742,0.008070451
4,0.005724254,0.007067021
5,0.005680664,0.00804458
6,0.007153806,0.00767492
7,0.006903537,0.006148385
8,0.006857337,0.00533501
9,0.007097711,0.006684189
10,0.007757175,0.006476633
11,0.007159733,0.006771282
12,0.007179633,0.00624333
13,0.007064605,0.005929287
14,0.007454582,0.006043005
15,0.007602687,0.006161153
16,0.007735358,0.006344882
17,0.00767678,0.005927068
18,0.007925381,0.005819273
19,0.007348256,0.005981703
20,0.007066911,0.006417296
21,0.007590381,0.005845629
22,0.007827329,0.005966812
23,0.007501862,0.00637044
24,0.007908868,0.006657315
25,0.0080606,0.005800442
26,0.008139169,0.006331625
27,0.008182346,0.006140766
28,0.00820003,0.005811401
29,0.008310086,0.005677822
30,0.007683766,0.00592236
31,0.007811274,0.006353711
32,0.008383844,0.005970983
33,0.00821196,0.006041941
34,0.008277317,0.006045442
35,0.007952867,0.006428014
36,0.007809543,0.005994702
37,0.008417119,0.006115674
38,0.007494648,0.005432089
39,0.008798277,0.00664502
40,0.008209706,0.006316921
41,0.008769031,0.005959176
42,0.008608063,0.006526455
43,0.007973383,0.006223305
44,0.008845688,0.006264736
45,0.008840074,0.00630037
46,0.008388813,0.006008377
47,0.008682065,0.006202601
48,0.008855898,0.006258391
49,0.008948507,0.006729148
50,0.008686821,0.005727567
51,0.008306039,0.006169074
52,0.00854871,0.006385055
53,0.008164037,0.006293101
54,0.008119995,0.00590784
55,0.008590987,0.005917709
56,0.00919316,0.006296452
57,0.008531976,0.006546189
58,0.008409925,0.006147239
59,0.008106943,0.006238099
60,0.008840743,0.006339489
61,0.008748557,0.006390779
62,0.008726394,0.005961991
63,0.008947917,0.006449682
64,0.009004375,0.006440422
65,0.009285812,0.006656598
66,0.008829558,0.006556232
67,0.008552204,0.006252586
68,0.008811026,0.006605971
69,0.007981168,0.005620822
70,0.009113331,0.006269919
71,0.008937046,0.006540561
72,0.008317059,0.005698935
73,0.00888126,0.007057518
74,0.009510167,0.006877129
75,0.008649144,0.006349881
76,0.00885632,0.006541394
77,0.009068154,0.006640105
78,0.009296441,0.006372612
79,0.00877673,0.006912762
80,0.008568333,0.006606327
81,0.009077828,0.006554177
82,0.00895705,0.00615766
83,0.008358591,0.006036258
84,0.008531605,0.006179982
85,0.008884691,0.006234422
86,0.008903299,0.006250742
87,0.009114346,0.006601311
88,0.008743057,0.006325528
89,0.008952271,0.006527606
90,0.009498652,0.006385814
91,0.009443932,0.006048902
92,0.009883735,0.00688953
93,0.009532013,0.00630873
94,0.008470563,0.006389857
95,0.009299464,0.006554282
96,0.008608524,0.005975317
97,0.009085551,0.006487498
98,0.008508173,0.006060092
99,0.009168576,0.006332961
100,0.009301722,0.006711506
101,0.009331237,0.006508892
102,0.008832028,0.006116287
103,0.009184018,0.006339991
104,0.009503545,0.006910997
105,0.009220343,0.006896383
106,0.009157452,0.006095062
107,0.009182818,0.006617202
108,0.009669028,0.006649677
109,0.009678896,0.007243197
110,0.009761669,0.007321741
111,0.009021672,0.006513206
112,0.009494702,0.006459962
113,0.00949736,0.006949669
114,0.009293734,0.006443975
115,0.008474656,0.006134313
116,0.009866672,0.007600647
117,0.008968864,0.006551076
118,0.009584595,0.006696104
119,0.009079304,0.006452826
120,0.009304894,0.006581563
121,0.00901546,0.006568671
122,0.009249479,0.006479484
123,0.009813779,0.006635838
124,0.00927972,0.007049054
125,0.009976586,0.007457634
126,0.009150703,0.006442059
127,0.009459246,0.006030653
128,0.009210049,0.006774104
129,0.009977368,0.007044476
130,0.00918386,0.006706789
131,0.008982494,0.006574873
132,0.009604825,0.006722358
133,0.008195522,0.006602622
134,0.008812534,0.006693151
135,0.009427276,0.006690762
136,0.009778008,0.007291457
137,0.008798128,0.006304817
138,0.009946009,0.007055786
139,0.008936884,0.006125413
140,0.008974905,0.006338893
141,0.009480006,0.006739636
142,0.00960502,0.006815015
143,0.009478729,0.006531053
144,0.009287076,0.006755589
145,0.008646257,0.006841872
146,0.00926764,0.006355482
147,0.009731739,0.007020972
148,0.009400184,0.00679336
149,0.009411177,0.006869567
150,0.010069662,0.007524962
151,0.009221307,0.006747367
152,0.009154312,0.006393211
153,0.009856197,0.006999109
154,0.009295532,0.006650355
155,0.009558861,0.007053317
156,0.010012946,0.006765131
157,0.009982231,0.007288001
158,0.009505414,0.007187579
159,0.009703366,0.006460752
160,0.009486904,0.006749165
161,0.01004883,0.007328045
162,0.010084064,0.007388713
163,0.010116043,0.007610946
164,0.009068633,0.006758481
165,0.010029928,0.006974041
166,0.009523529,0.006439257
167,0.009869971,0.007119485
168,0.009689243,0.007117013
169,0.009891868,0.00729031
170,0.010096158,0.007518728
171,0.009828809,0.007127146
172,0.009937665,0.007138145
173,0.009290614,0.0062978
174,0.009545642,0.006754019
175,0.009840324,0.007004754
176,0.010153186,0.00711174
177,0.009706825,0.00679038
178,0.009330047,0.006403399
179,0.009920055,0.007004666
180,0.009887218,0.007232124
181,0.011084523,0.007914843
182,0.009882424,0.007008652
183,0.009285741,0.007004419
184,0.010035404,0.007389229
185,0.009463699,0.006931666
186,0.009990544,0.006992111
187,0.009376637,0.006639028
188,0.009737914,0.006797435
189,0.009766535,0.007245692
190,0.010738859,0.007580988
191,0.010400711,0.007506665
192,0.009456472,0.007153714
193,0.009918654,0.0073022
194,0.009248068,0.006678956
195,0.010072691,0.007194118
196,0.009102829,0.006884019
197,0.00877268,0.006544503
198,0.009778147,0.007011807
199,0.009229461,0.006609089
200,0.009566005,0.007156725
201,0.009846996,0.007532171
202,0.009938606,0.007098552
203,0.008744788,0.006040038
204,0.010082305,0.006845365
205,0.009870792,0.006939431
206,0.010600955,0.007356067
207,0.010957909,0.007904205
208,0.009295485,0.006871339
209,0.010317219,0.007111167
210,0.010182761,0.007377004
211,0.010208461,0.007069173
212,0.009830229,0.007348556
213,0.009971926,0.007196782
214,0.009486746,0.006660911
215,0.011144232,0.007581683
216,0.010269785,0.007112565
217,0.009752541,0.006734019
218,0.008685193,0.006612468
219,0.010543943,0.007359285
220,0.00984925,0.007475643
221,0.009674831,0.007022428
222,0.010046019,0.00734588
223,0.009862038,0.007130775
224,0.010185571,0.007320195
225,0.011170031,0.008061851
226,0.0110561,0.007604564
227,0.010266254,0.007207292
228,0.009248901,0.006573113
229,0.00924395,0.006608124
230,0.01045767,0.007885748
231,0.008972876,0.006747609
232,0.010198459,0.007424552
233,0.010520409,0.007786805
234,0.010030289,0.007147127
235,0.009799806,0.007247161
236,0.009968884,0.007029507
237,0.010398689,0.007519266
238,0.010050452,0.007024416
239,0.009783623,0.00754055
240,0.010406778,0.007353275
241,0.010804061,0.007595984
242,0.009963984,0.007206425
243,0.011161275,0.007710867
244,0.009862038,0.007130775
245,0.009394217,0.006903559
246,0.010701228,0.007620687
247,0.01039709,0.00753683
248,0.010590265,0.007430573
249,0.010048075,0.00762192
250,0.010135374,0.007331365
251,0.00944912,0.006599624
252,0.011170031,0.008061851
253,0.010482607,0.007770928
254,0.010278992,0.007789055
255,0.010499762,0.007604486
256,0.010434043,0.007413262
257,0.010535786,0.007392814
258,0.009825032,0.006676178
259,0.010221345,0.007208211
260,0.010301213,0.00759649
261,0.010390409,0.007807396
262,0.009932325,0.007165735
263,0.010051346,0.007385897
264,0.010300493,0.00723377
265,0.010838554,0.007293238
266,0.010203631,0.007210545
267,0.010206409,0.007745221
268,0.010308356,0.007372619
269,0.010705945,0.007262083
270,0.009804471,0.006689476
271,0.010109932,0.007443726
272,0.010677368,0.007761582
273,0.009823888,0.006686765
274,0.01084194,0.00737874
275,0.010361233,0.007659522
276,0.010285352,0.007181286
277,0.009735813,0.00689002
278,0.010235059,0.007859275
279,0.009795629,0.007147155
280,0.010212744,0.006991347
281,0.010235059,0.007992764
282,0.010257268,0.007770369
283,0.01033845,0.007835763
284,0.011229823,0.007786995
285,0.010232871,0.007192537
286,0.01015466,0.007190092
287,0.010857539,0.00785001
288,0.010544564,0.007302704
289,0.010864374,0.007562507
290,0.009957907,0.007142805
291,0.010566353,0.007356357
292,0.01004616,0.007074827
293,0.010303697,0.007199176
294,0.010618528,0.007558817
295,0.010098482,0.007386619
296,0.010799543,0.007579092
297,0.010291028,0.007308792
298,0.010842127,0.00763185
299,0.010597638,0.007220969
300,0.010519383,0.007386262
301,0.010022115,0.007313688
302,0.010712498,0.007618513
303,0.010712984,0.007422247
304,0.010098482,0.007426317
305,0.010232521,0.006981975
306,0.010483538,0.007625444
307,0.01067463,0.007741585
308,0.010732008,0.007773845
309,0.010740554,0.0078694
310,0.011156118,0.007703588
311,0.010873813,0.008011687
312,0.010361935,0.007458786
313,0.011048378,0.008221238
314,0.010804908,0.007307415
315,0.009795629,0.007125808
316,0.010771756,0.007862699
317,0.010464999,0.007875075
318,0.010462176,0.007525629
319,0.010167586,0.007240862
320,0.010656462,0.007574747
321,0.011770075,0.008258633
322,0.011770075,0.008258633
323,0.011770075,0.008258633
324,0.011770075,0.008258633
325,0.011770075,0.008258633
326,0.011770075,0.008258633
327,0.011770075,0.008258633
328,0.011770075,0.008258633
329,0.011770075,0.008258633
330,0.011770075,0.008258633
331,0.011770075,0.008258633
332,0.011770075,0.008258633
333,0.011770075,0.008258633
334,0.011770075,0.008258633
335,0.011770075,0.008258633
336,0.011770075,0.008258633
337,0.011770075,0.008258633
338,0.011770075,0.008258633
339,0.011770075,0.008258633
340,0.011770075,0.008258633
341,0.011770075,0.008258633
342,0.011770075,0.008258633
343,0.011770075,0.008258633
344,0.011770075,0.008258633
345,0.011770075,0.008258633
346,0.011770075,0.008258633
347,0.011770075,0.008258633
348,0.011770075,0.008258633
349,0.011770075,0.008258633
350,0.011770075,0.008258633
351,0.011770075,0.008258633
352,0.011770075,0.008258633
353,0.011770075,0.008258633
354,0.011770075,0.008258633
355,0.011770075,0.008258633
356,0.011770075,0.008258633
357,0.011770075,0.008258633
358,0.011770075,0.008258633
359,0.011770075,0.008258633
360,0.011770075,0.008258633
361,0.011770075,0.008258633
362,0.011770075,0.008258633
363,0.011770075,0.008258633
364,0.011770075,0.008258633
365,0.011770075,0.008258633
366,0.011770075,0.008258633
367,0.011770075,0.008258633
368,0.011770075,0.008258633
369,0.011770075,0.008258633
370,0.011770075,0.008258633
371,0.011770075,0.008258633
372,0.011770075,0.008258633
373,0.011770075,0.008258633
374,0.011770075,0.008258633
375,0.011770075,0.008258633
376,0.011770075,0.008258633
377,0.011770075,0.008258633
378,0.011770075,0.008258633
379,0.011770075,0.008258633
380,0.011770075,0.008258633
381,0.011770075,0.008258633
382,0.011770075,0.008258633
383,0.011770075,0.008258633
384,0.011770075,0.008258633
385,0.011770075,0.008258633
386,0.011770075,0.008258633
387,0.011770075,0.008258633
388,0.011770075,0.008258633
389,0.011770075,0.008258633
390,0.011770075,0.008258633
391,0.011770075,0.008258633
392,0.011770075,0.008258633
393,0.011770075,0.008258633
394,0.011770075,0.008258633
395,0.011770075,0.008258633
396,0.011770075,0.008258633
397,0.011770075,0.008258633
398,0.011770075,0.008258633
399,0.011770075,0.008258633
400,0.011770075,0.008258633
401,0.011770075,0.008258633
402,0.011770075,0.008258633
403,0.011770075,0.008258633
404,0.011770075,0.008258633
405,0.011770075,0.008258633
406,0.011770075,0.008258633
407,0.011770075,0.008258633
408,0.011770075,0.008258633
409,0.011770075,0.008258633
410,0.011770075,0.008258633
411,0.011770075,0.008258633
412,0.011770075,0.008258633
413,0.011770075,0.008258633
414,0.011770075,0.008258633
415,0.011770075,0.008258633
416,0.011770075,0.008258633
417,0.011770075,0.008258633
418,0.011770075,0.008258633
419,0.011770075,0.008258633
420,0.011770075,0.008258633
421,0.011770075,0.008258633
422,0.011770075,0.008258633
423,0.011770075,0.008258633
424,0.011770075,0.008258633
425,0.011770075,0.008258633
426,0.011770075,0.008258633
427,0.011770075,0.008258633
428,0.011770075,0.008258633
429,0.011770075,0.008258633
430,0.011770075,0.008258633
431,0.011770075,0.008258633
432,0.011770075,0.008258633
433,0.011770075,0.008258633
434,0.011770075,0.008258633
435,0.011770075,0.008258633
436,0.011770075,0.008258633
437,0.011770075,0.008258633
438,0.011770075,0.008258633
439,0.011770075,0.008258633
440,0.011770075,0.008258633
441,0.011770075,0.008258633
442,0.011770075,0.008258633
443,0.011770075,0.008258633
444,0.011770075,0.008258633
445,0.011770075,0.008258633
446,0.011770075,0.008258633
447,0.011770075,0.008258633
448,0.011770075,0.008258633
449,0.011770075,0.008258633
450,0.011770075,0.008258633
451,0.011770075,0.008258633
452,0.011770075,0.008258633
453,0.011770075,0.008258633
454,0.011770075,0.008258633
455,0.011770075,0.008258633
456,0.011770075,0.008258633
457,0.011770075,0.008258633
458,0.011770075,0.008258633
459,0.011770075,0.008258633
460,0.011770075,0.008258633
461,0.011770075,0.008258633
462,0.011770075,0.008258633
463,0.011770075,0.008258633
464,0.011770075,0.008258633
465,0.011770075,0.008258633
466,0.011770075,0.008258633
467,0.011770075,0.008258633
468,0.011770075,0.008258633
469,0.011770075,0.008258633
470,0.011770075,0.008258633
471,0.011770075,0.008258633
472,0.011770075,0.008258633
473,0.011770075,0.008258633
474,0.011770075,0.008258633
475,0.011770075,0.008258633
476,0.011770075,0.008258633
477,0.011770075,0.008258633
478,0.011770075,0.008258633
479,0.011770075,0.008258633
480,0.011770075,0.008258633
481,0.011770075,0.008258633
482,0.011770075,0.008258633
483,0.011770075,0.008258633
484,0.011770075,0.008258633
485,0.011770075,0.008258633
486,0.011770075,0.008258633
487,0.011770075,0.008258633
488,0.011770075,0.008258633
489,0.011770075,0.008258633
490,0.011770075,0.008258633
491,0.011770075,0.008258633
492,0.011770075,0.008258633
493,0.011770075,0.008258633
494,0.011770075,0.008258633
495,0.011770075,0.008258633
496,0.011770075,0.008258633
497,0.011770075,0.008258633
498,0.011770075,0.008258633
499,0.011770075,0.008258633
500,0.011770075,0.008258633
501,0.011770075,0.008258633
502,0.011770075,0.008258633
503,0.011770075,0.008258633
504,0.011770075,0.008258633
505,0.011770075,0.008258633
506,0.011770075,0.008258633
507,0.011770075,0.008258633
508,0.011770075,0.008258633
509,0.011770075,0.008258633
510,0.011770075,0.008258633
511,0.011770075,0.008258633
512,0.011770075,0.008258633
513,0.011770075,0.008258633
514,0.011770075,0.008258633
515,0.011770075,0.008258633
516,0.011770075,0.008258633
517,0.011770075,0.008258633
518,0.011770075,0.008258633
519,0.011770075,0.008258633
520,0.011770075,0.008258633
521,0.011770075,0.008258633
522,0.011770075,0.008258633
523,0.011770075,0.008258633
524,0.011770075,0.008258633
525,0.011770075,0.008258633
526,0.011770075,0.008258633
527,0.011770075,0.008258633
528,0.011770075,0.008258633
529,0.011770075,0.008258633
530,0.011770075,0.008258633
531,0.011770075,0.008258633
532,0.011770075,0.008258633
533,0.011770075,0.008258633
534,0.011770075,0.008258633
535,0.011770075,0.008258633
536,0.011770075,0.008258633
537,0.011770075,0.008258633
538,0.011770075,0.008258633
539,0.011770075,0.008258633
540,0.011770075,0.008258633
541,0.011770075,0.008258633
542,0.011770075,0.008258633
543,0.011770075,0.008258633
544,0.011770075,0.008258633
545,0.011770075,0.008258633
546,0.011770075,0.008258633
547,0.011770075,0.008258633
548,0.011770075,0.008258633
549,0.011770075,0.008258633
550,0.011770075,0.008258633
551,0.011770075,0.008258633
552,0.011770075,0.008258633
553,0.011770075,0.008258633
554,0.011770075,0.008258633
555,0.011770075,0.008258633
556,0.011770075,0.008258633
557,0.011770075,0.008258633
558,0.011770075,0.008258633
559,0.011770075,0.008258633
560,0.011770075,0.008258633
561,0.011770075,0.008258633
562,0.011770075,0.008258633
563,0.011770075,0.008258633
564,0.011770075,0.008258633
565,0.011770075,0.008258633
566,0.011770075,0.008258633
567,0.011770075,0.008258633
568,0.011770075,0.008258633
569,0.011770075,0.008258633
570,0.011770075,0.008258633
571,0.011770075,0.008258633
572,0.011770075,0.008258633
573,0.011770075,0.008258633
574,0.011770075,0.008258633
575,0.011770075,0.008258633
576,0.011770075,0.008258633
577,0.011770075,0.008258633
578,0.011770075,0.008258633
579,0.011770075,0.008258633
580,0.011770075,0.008258633
581,0.011770075,0.008258633
582,0.011770075,0.008258633
583,0.011770075,0.008258633
584,0.011770075,0.008258633
585,0.011770075,0.008258633
586,0.011770075,0.008258633
587,0.011770075,0.008258633
588,0.011770075,0.008258633
589,0.011770075,0.008258633
590,0.011770075,0.008258633
591,0.011770075,0.008258633
592,0.011770075,0.008258633
593,0.011770075,0.008258633
594,0.011770075,0.008258633
595,0.011770075,0.008258633
596,0.011770075,0.008258633
