Bag Size,In Sample RMSE,Out of Sample RMSE
1,0.006866541,0.00727669
2,0.006106055,0.006066981
3,0.005503703,0.005855223
4,0.005402324,0.005081453
5,0.005439434,0.00509849
6,0.005098199,0.0053281
7,0.005028001,0.004927925
8,0.004827069,0.004672604
9,0.004808053,0.004747278
10,0.004899251,0.004723929
11,0.004781626,0.004943687
12,0.004846382,0.004453924
13,0.004924058,0.004815945
14,0.00488627,0.00484776
15,0.004973084,0.004871774
16,0.004510377,0.004825211
17,0.004873024,0.004611282
18,0.004690971,0.004705736
19,0.004820869,0.004786777
20,0.004773577,0.004674557
21,0.004738586,0.004732367
22,0.004651874,0.004790541
23,0.005034375,0.004688712
24,0.004693754,0.004668278
25,0.004657508,0.004602311
26,0.004636895,0.004593534
27,0.004659467,0.00483958
28,0.004702187,0.004513531
29,0.004587097,0.004637101
30,0.004785923,0.004627774
31,0.004610953,0.004556711
32,0.004752046,0.004461187
33,0.004669785,0.004467044
34,0.004490036,0.004638125
35,0.004547439,0.00458185
36,0.004665303,0.004558694
37,0.004593208,0.004606377
38,0.004755651,0.004591025
39,0.004728409,0.004569534
40,0.004609522,0.004544372
41,0.004729872,0.004701511
42,0.004516217,0.004512093
43,0.004709019,0.004628004
44,0.004668858,0.004667118
45,0.004690262,0.004653037
46,0.004697551,0.004523725
47,0.004570016,0.004621565
48,0.004632296,0.004708555
49,0.004581518,0.004602918
50,0.004523898,0.00449291
51,0.004571818,0.00457905
52,0.004646824,0.004712799
53,0.004689466,0.004583517
54,0.004665005,0.004574064
55,0.004681515,0.004628482
56,0.004545087,0.004559914
57,0.004597385,0.00450734
58,0.004640776,0.004569576
59,0.004543585,0.004516518
60,0.004704492,0.004589452
61,0.004581628,0.004576804
62,0.004533784,0.004598449
63,0.004603491,0.004636111
64,0.004574061,0.004583576
65,0.004568203,0.004486899
66,0.004640153,0.00454306
67,0.004634182,0.004616904
68,0.004647138,0.00452895
69,0.004678933,0.004569885
70,0.004527558,0.004490555
71,0.004577149,0.004629518
72,0.004558305,0.004555051
73,0.004681178,0.004673903
74,0.004663797,0.004607325
75,0.004578038,0.004531133
76,0.004573524,0.004584064
77,0.004605575,0.00457598
78,0.004524901,0.004606428
79,0.004563274,0.004465558
80,0.004664594,0.004559636
81,0.004679878,0.004548883
82,0.004562107,0.004580864
83,0.004563806,0.004560748
84,0.004555199,0.00457006
85,0.004519194,0.004610375
86,0.004631342,0.00450455
87,0.004618027,0.004583252
88,0.004664002,0.00460347
89,0.004589474,0.004570857
90,0.004630173,0.004482095
91,0.004620016,0.004439416
92,0.004608949,0.004563546
93,0.004623732,0.004448793
94,0.004622782,0.004521779
95,0.004586191,0.00456805
96,0.004630775,0.004538885
97,0.004584731,0.004481964
98,0.004693742,0.004610705
99,0.004584427,0.004506435
100,0.004663868,0.004521007
101,0.00462028,0.004526381
102,0.004590004,0.004538384
103,0.004553436,0.004493993
104,0.004562696,0.004457007
105,0.004547415,0.004568137
106,0.004647684,0.004556286
107,0.00458661,0.004553489
108,0.004607941,0.004509652
109,0.004621352,0.004530938
110,0.004598629,0.004562442
111,0.004680216,0.004611183
112,0.004541088,0.004565165
113,0.00460719,0.004507292
114,0.004632594,0.004461374
115,0.004496049,0.0044531
116,0.004664159,0.004548155
117,0.004577699,0.004517587
118,0.004582662,0.004510584
119,0.004604821,0.004552672
120,0.004617985,0.004495258
121,0.004543772,0.004527092
122,0.004521235,0.004513849
123,0.00460451,0.00454993
124,0.004620593,0.004441406
125,0.004569536,0.004503912
126,0.004599244,0.004531726
127,0.004611458,0.004487933
128,0.004550335,0.004425032
129,0.004598058,0.004455042
130,0.004558984,0.004589903
131,0.004580047,0.004581648
132,0.004659501,0.004601691
133,0.004603244,0.004501291
134,0.004655707,0.004551606
135,0.004579803,0.004513152
136,0.00448783,0.004521672
137,0.004587885,0.004542111
138,0.004583677,0.004511251
139,0.004670005,0.004534418
140,0.004591648,0.004536688
141,0.004616,0.004613867
142,0.004612109,0.004566512
143,0.004585905,0.004512777
144,0.004568602,0.00442015
145,0.004512447,0.004556677
146,0.004591355,0.004428784
147,0.004638561,0.004576888
148,0.004546343,0.004486502
149,0.004644443,0.004498499
150,0.004561219,0.004518276
