Bag Size,In Sample RMSE,Out of Sample RMSE
1,0.626330008,0.89678938
2,0.535067524,0.787259098
3,0.481889261,0.755128805
4,0.473734725,0.76740615
5,0.464785318,0.743913182
6,0.44044497,0.689716676
7,0.432837303,0.702684853
8,0.430583169,0.681885434
9,0.443632951,0.720678673
10,0.437033798,0.681750576
11,0.42456059,0.691199384
12,0.425680016,0.686251443
13,0.42339465,0.691125979
14,0.422073256,0.687335283
15,0.42903407,0.717665672
16,0.427474378,0.703199955
17,0.423009671,0.693274142
18,0.427075226,0.677003929
19,0.422350138,0.689786377
20,0.413133337,0.696251863
21,0.419525328,0.670602361
22,0.419380122,0.682881635
23,0.41679748,0.683037715
24,0.420764539,0.690497316
25,0.41146527,0.678087414
26,0.424842631,0.693332101
27,0.417104041,0.691200043
28,0.417302366,0.677707721
29,0.423091427,0.692791983
30,0.414195187,0.682693756
31,0.414786631,0.682062121
32,0.417898643,0.679167949
33,0.427402832,0.687987203
34,0.416542559,0.673614913
35,0.415443069,0.677512006
36,0.418272181,0.683541831
37,0.418988471,0.682011692
38,0.41210543,0.683664625
39,0.412378205,0.677627333
40,0.417478391,0.681671867
41,0.415557664,0.68928807
42,0.416004102,0.674791192
43,0.41936349,0.687784704
44,0.413818358,0.674341731
45,0.408233733,0.679417548
46,0.414069144,0.684857474
47,0.419206136,0.684763141
48,0.412429352,0.675169513
49,0.419273184,0.680633662
50,0.410064999,0.674889385
51,0.409430683,0.669495671
52,0.414676238,0.681212095
53,0.408614592,0.6782892
54,0.411639369,0.680335046
55,0.412678797,0.682348562
56,0.412140536,0.68326791
57,0.409513057,0.678221841
58,0.408491344,0.675336369
59,0.411752227,0.685143503
60,0.41480718,0.678042905
61,0.41174831,0.679218859
62,0.412726171,0.677041217
63,0.411268199,0.689388975
64,0.407955773,0.67979213
65,0.41271762,0.669128865
66,0.412090152,0.682230383
67,0.407715637,0.6817197
68,0.406386729,0.681256797
69,0.413211541,0.685276953
70,0.407933313,0.676402639
71,0.409506213,0.673401559
72,0.411223661,0.680341325
73,0.405805927,0.676569604
74,0.411040756,0.678364883
75,0.414437892,0.679646967
76,0.415827601,0.681436593
77,0.406976334,0.676371386
78,0.41437359,0.681099407
79,0.40431585,0.678428943
80,0.408512885,0.667844992
81,0.412361628,0.681719469
82,0.409277816,0.683291315
83,0.411814808,0.675249861
84,0.41209772,0.682701349
85,0.407882258,0.672384511
86,0.412277955,0.67723389
87,0.410553189,0.682324608
88,0.407897487,0.68613727
89,0.415645299,0.679385883
90,0.411941747,0.678445893
91,0.410588657,0.676502229
92,0.412385751,0.679243878
93,0.415278578,0.677853999
94,0.411423689,0.680669422
95,0.409035131,0.671166596
96,0.41320381,0.677781401
97,0.407351002,0.680697095
98,0.41504826,0.673862391
99,0.41060016,0.677976092
100,0.408127262,0.68288877
101,0.409402367,0.679763464
102,0.407722239,0.678002436
103,0.412041499,0.683054423
104,0.412376,0.676190206
105,0.411177183,0.676777837
106,0.40997997,0.667745952
107,0.410533907,0.680742482
108,0.410436447,0.676887485
109,0.409622562,0.677319103
110,0.406963624,0.672626257
111,0.413237866,0.675097557
112,0.414683002,0.680341878
113,0.410249979,0.67531631
114,0.410118286,0.674490364
115,0.411980585,0.678259848
116,0.411238724,0.67374726
117,0.405394471,0.673509078
118,0.408660918,0.674414175
119,0.409336269,0.67792747
120,0.405939648,0.679098396
121,0.408332048,0.676719947
122,0.408957953,0.677403481
123,0.407124717,0.677246796
124,0.410578678,0.676329128
125,0.411879632,0.682392777
126,0.405349441,0.673730011
127,0.410197336,0.679653811
128,0.409238771,0.673256602
129,0.406825382,0.67279711
130,0.412573203,0.675350585
131,0.414016707,0.682513622
132,0.409233799,0.669466854
133,0.409209313,0.672791214
134,0.408987987,0.680437624
135,0.409296199,0.678402366
136,0.40835004,0.672623674
137,0.411133434,0.675603268
138,0.409182001,0.67125521
139,0.406284981,0.674181004
140,0.409370463,0.67458553
141,0.408468081,0.675922099
142,0.413158445,0.676735035
143,0.406053489,0.676350821
144,0.40900181,0.674249376
145,0.409106391,0.672935948
146,0.407889254,0.677714575
147,0.408244146,0.678426448
148,0.412245462,0.677813387
149,0.407513146,0.673534239
150,0.40952572,0.675755253
