Bag Size,In Sample RMSE,Out of Sample RMSE
1,0.5259999,1.024285053
2,0.387117871,0.839749481
3,0.352959786,0.783789152
4,0.328945133,0.76720659
5,0.311213655,0.719760242
6,0.27343179,0.708235856
7,0.267591547,0.707866754
8,0.269477642,0.72297194
9,0.252547549,0.710894866
10,0.252112199,0.67419006
11,0.256715523,0.708791287
12,0.245971115,0.704874043
13,0.248746535,0.694543274
14,0.239776807,0.695664062
15,0.239615841,0.698338421
16,0.251932062,0.703355743
17,0.23862952,0.688057309
18,0.241193132,0.686914074
19,0.237074693,0.682636946
20,0.226353079,0.689388839
21,0.231782097,0.683922933
22,0.233398059,0.698113369
23,0.230682295,0.696148896
24,0.235996827,0.67778222
25,0.224480375,0.675255279
26,0.226182378,0.685466578
27,0.219246103,0.707294865
28,0.227870277,0.69269769
29,0.224377945,0.686254716
30,0.22168478,0.67910656
31,0.227175812,0.685650054
32,0.226724956,0.680078472
33,0.226455302,0.683962858
34,0.231170658,0.691282547
35,0.21789943,0.688778611
36,0.218257444,0.671786269
37,0.225355447,0.684280042
38,0.22382462,0.684470813
39,0.218284222,0.678939527
40,0.216055673,0.680219231
41,0.219755706,0.675217621
42,0.217793343,0.684100386
43,0.220048164,0.671371107
44,0.222148045,0.685044138
45,0.225572573,0.6836479
46,0.214031864,0.689981197
47,0.223219555,0.691263211
48,0.218113431,0.673985658
49,0.220367882,0.676726279
50,0.220966854,0.677866158
51,0.219008369,0.673740425
52,0.218811986,0.68242038
53,0.217640396,0.68558677
54,0.21856167,0.683250632
55,0.216963014,0.675547389
56,0.222132319,0.671215019
57,0.224466313,0.68220984
58,0.217700791,0.669948201
59,0.218751694,0.681267811
60,0.218029788,0.672931765
61,0.219291543,0.677839246
62,0.216536416,0.677472649
63,0.219409904,0.676144248
64,0.22277767,0.675393555
65,0.215691517,0.682870526
66,0.218398168,0.674054408
67,0.216251682,0.674401385
68,0.216095822,0.68056203
69,0.215363997,0.676405657
70,0.222266001,0.68007455
71,0.21644606,0.68105845
72,0.220221527,0.678288643
73,0.215626102,0.673262015
74,0.217852719,0.679781018
75,0.214103883,0.6844208
76,0.214389967,0.671593622
77,0.215305039,0.677176754
78,0.217774951,0.67218697
79,0.213717071,0.679696171
80,0.217083445,0.666623533
81,0.216297349,0.673567742
82,0.214031285,0.676701842
83,0.212982558,0.671653914
84,0.211019718,0.679510931
85,0.212824962,0.677517824
86,0.210751018,0.685986508
87,0.213016827,0.675055732
88,0.214802624,0.671773934
89,0.22016786,0.679367386
90,0.216025989,0.671345482
91,0.218609997,0.679143766
92,0.21061662,0.675283503
93,0.215820448,0.68486338
94,0.21506265,0.677319653
95,0.213389615,0.672244245
96,0.210150991,0.675479922
97,0.214173098,0.67356316
98,0.213209836,0.66833874
99,0.213145645,0.677420308
100,0.212243867,0.665912749
101,0.211560208,0.675860271
102,0.216812713,0.680365928
103,0.211709567,0.68258036
104,0.215725508,0.672001544
105,0.21337227,0.669455936
106,0.218651114,0.680169668
107,0.21646271,0.671638732
108,0.208944387,0.677411808
109,0.214053702,0.678190096
110,0.215033735,0.665732213
111,0.21392882,0.672912416
112,0.216828122,0.679292223
113,0.213803321,0.672480957
114,0.21438834,0.672411821
115,0.211108665,0.668337406
116,0.214000519,0.667337585
117,0.213167666,0.664252484
118,0.216133244,0.670860292
119,0.213701098,0.673842498
120,0.212905025,0.675822061
121,0.216288746,0.673263964
122,0.212323901,0.670243978
123,0.211694184,0.675964738
124,0.212851423,0.671124809
125,0.210687363,0.671585356
126,0.215449181,0.676648991
127,0.212027612,0.669050179
128,0.211650431,0.676167001
129,0.213661267,0.679415232
130,0.214270486,0.678943676
131,0.21125543,0.672823524
132,0.212598628,0.679076845
133,0.214756089,0.667626791
134,0.209532381,0.672477917
135,0.215846434,0.677877127
136,0.217113288,0.676404361
137,0.2156005,0.678066813
138,0.213497211,0.676956039
139,0.214717067,0.677669775
140,0.210651575,0.672259928
141,0.207795121,0.662836649
142,0.213300871,0.675612894
143,0.215362639,0.671711608
144,0.21278718,0.673999048
145,0.210200037,0.675145875
146,0.215113192,0.672151273
147,0.215576043,0.673396366
148,0.213898436,0.678349899
149,0.213120355,0.672417605
150,0.211570438,0.671949739
