Leaf Size,In Sample RMSE,Out of Sample RMSE
1,0.253449518,0.728913815
2,0.302016679,0.724675202
3,0.365314905,0.737164465
4,0.418943117,0.723659854
5,0.463718879,0.729779779
6,0.491501709,0.72613547
7,0.528990754,0.728315483
8,0.554255362,0.72857628
9,0.569411538,0.728455485
10,0.590201908,0.722260458
11,0.600964682,0.721506491
12,0.617422451,0.721531024
13,0.626307413,0.715597924
14,0.637187081,0.719266444
15,0.641894665,0.723773738
16,0.646995051,0.727196503
17,0.66187198,0.729052722
18,0.666349197,0.720631089
19,0.669359336,0.714126159
20,0.670647466,0.723813613
21,0.677924682,0.712783174
22,0.684292919,0.725059758
23,0.687778642,0.724520069
24,0.689953547,0.722778111
25,0.693549349,0.718878621
26,0.694129661,0.723220332
27,0.696114466,0.726803777
28,0.709481124,0.72494409
29,0.709026064,0.725388296
30,0.707096731,0.728887886
31,0.709874228,0.730753761
32,0.714477166,0.728093615
33,0.71319712,0.732359136
34,0.720173236,0.723576086
35,0.72519751,0.723032035
36,0.71533293,0.718694859
37,0.722284012,0.72442874
38,0.72737173,0.736967476
39,0.728927561,0.729628715
40,0.732071955,0.730561944
41,0.728396023,0.723834226
42,0.733831592,0.732602769
43,0.731282717,0.726449768
44,0.736026745,0.737872087
45,0.736105546,0.730936079
46,0.739920749,0.733370796
47,0.743232107,0.72745578
48,0.746840884,0.736706091
49,0.743033035,0.728726902
50,0.749686327,0.73005966
51,0.736851885,0.726832859
52,0.745407449,0.727107449
53,0.747636428,0.73015033
54,0.751850108,0.738991281
55,0.751733719,0.730994357
56,0.754313911,0.741712152
57,0.755694354,0.734379001
58,0.750695645,0.731640199
59,0.758096528,0.742721273
60,0.751850062,0.730935081
61,0.751155222,0.722560269
62,0.762045416,0.741061046
63,0.757945783,0.735951048
64,0.758539353,0.738786977
65,0.753772693,0.72996522
66,0.762318266,0.737663807
67,0.761115985,0.74049096
68,0.763463144,0.744164761
69,0.762155188,0.733448335
70,0.767965274,0.731378778
71,0.757680807,0.72393199
72,0.763636013,0.734837871
73,0.768802235,0.732772878
74,0.757411086,0.728668181
75,0.766735093,0.732511255
76,0.765717812,0.732086111
77,0.775645827,0.736963024
78,0.765576327,0.735718743
79,0.758505309,0.729335306
80,0.764284206,0.732435299
81,0.76904747,0.739237711
82,0.767326641,0.732905233
83,0.763198774,0.730896836
84,0.766685309,0.733264854
85,0.772722918,0.733707403
86,0.772527182,0.733740248
87,0.768044131,0.732387198
88,0.766943291,0.726460999
89,0.765547756,0.729879311
90,0.776519849,0.736298379
91,0.770449821,0.744372222
92,0.77176314,0.739150781
93,0.772149588,0.733500916
94,0.772800133,0.732622636
95,0.771038522,0.730154525
96,0.77395821,0.728141237
97,0.77882039,0.737939806
98,0.776267147,0.733007713
99,0.778766879,0.746669841
100,0.782037176,0.739501928
101,0.77991999,0.741711698
102,0.778170952,0.745578078
103,0.786234897,0.750332571
104,0.780086199,0.739952206
105,0.778852557,0.732967881
106,0.777189354,0.734830995
107,0.777170651,0.74153709
108,0.768232906,0.728618396
109,0.7855816,0.74107871
110,0.77877124,0.743433927
111,0.780543289,0.73998439
112,0.783458621,0.743176021
113,0.780067319,0.735383486
114,0.777862501,0.735664343
115,0.780715217,0.740811344
116,0.775506506,0.741920484
117,0.781003239,0.744307432
118,0.779545677,0.736491989
119,0.782963695,0.742411005
120,0.785565518,0.740086567
121,0.781553509,0.74082709
122,0.780928589,0.737493992
123,0.784830476,0.745252256
124,0.791833466,0.746161462
125,0.783139063,0.742597055
126,0.783974894,0.73594365
127,0.778926276,0.736610613
128,0.789861605,0.747165908
129,0.783998325,0.743716342
130,0.789979311,0.748494461
131,0.787876863,0.747355222
132,0.788283119,0.74172076
133,0.780956645,0.742136912
134,0.789187806,0.741572408
135,0.78414223,0.735088389
136,0.778833547,0.729736643
137,0.787824104,0.747090983
138,0.791931359,0.744805799
139,0.787894813,0.745412985
140,0.779894893,0.739743425
141,0.788126345,0.744145442
142,0.788755586,0.748519252
143,0.791860956,0.747246368
144,0.787714358,0.738950989
145,0.791917855,0.740051558
146,0.791401883,0.743813283
147,0.789375655,0.748686039
148,0.789923865,0.743279943
149,0.784945254,0.738232935
150,0.790987285,0.744838282
151,0.802159376,0.755226792
152,0.786878926,0.739211474
153,0.798707171,0.751936973
154,0.799445203,0.759728466
155,0.791671304,0.744607161
156,0.79197454,0.741926808
157,0.78629833,0.740352846
158,0.792894035,0.746730076
159,0.797956956,0.750939301
160,0.788035261,0.740661331
161,0.797638858,0.755191512
162,0.794020151,0.746883331
163,0.789566267,0.740655048
164,0.79350118,0.745575419
165,0.802800915,0.756360806
166,0.803636438,0.756306533
167,0.803147133,0.753712533
168,0.799073088,0.754091884
169,0.803034272,0.7542158
170,0.79509422,0.742468832
171,0.797552423,0.741131301
172,0.79190368,0.748841942
173,0.795224922,0.747788458
174,0.80228765,0.745143912
175,0.797700326,0.749099641
176,0.795430371,0.742383343
177,0.800868077,0.749369171
178,0.803936845,0.75442095
179,0.7982893,0.747350276
180,0.803590318,0.750415531
181,0.794438487,0.738230038
182,0.795092657,0.745977947
183,0.796945123,0.753110893
184,0.797855294,0.748846747
185,0.806948716,0.760120276
186,0.797813915,0.745621003
187,0.808489259,0.759855793
188,0.788658452,0.740667421
189,0.797064976,0.745893231
190,0.793252291,0.746173866
